"국가별",1990,2000,2010,2020
"코모로",6.7,5.6,4.9,4.2365
"콩고",5.3,4.9,4.8,4.45
"콩고민주공화국",6.7069,6.77,6.6334,5.9635
"코트디부아르",6.85,6.05,5.25,4.68
"이집트",5,3.6,3.02,3.33
"에티오피아",7.3673,6.8335,5.45,4.3
"가봉",5.577,4.766,4.2,4
"감비아",6.15,5.95,5.65,5.25
"가나",5.8817,5.0189,4.3653,3.8928
"기니",6.6321,6.2354,5.535,4.7384
"기니비사우",6.6834,6.0471,5.2,4.51
"케냐",6.538,5.35,4.65,3.52
"레소토",4.9773,3.9576,3.373,3.1641
"라이베리아",6.7229,6.0481,5.2,4.35
"리비아",5.712,3.2,2.5,2.25
"마다가스카르",6.25,5.801,4.83,4.1085
"말라위",7.25,6.2,5.73,4.25
"말리",7.15,6.95,6.7,5.9215
"모리타니",6.05,5.52,5.07,4.585
"모리셔스",2.3118,2.0332,1.698,1.3885
"모로코",4.43,2.965,2.53,2.42
"모잠비크",6.3,5.85,5.537,4.8858
"나미비아",5.547,4.2601,3.6084,3.4153
"니제르",7.8,7.7,7.55,6.95
"나이지리아",6.6035,6.1703,5.91,5.4168
"르완다",7.8,5.9,4.85,4.1
"세네갈",6.7,5.7,5.1,4.65
"소말리아",7.26,7.7,7.1,6.12
"남아프리카공화국",4.4,2.8763,2.625,2.4139
"수단",6.3,5.65,5,4.4345
"에스와티니",5.49,4.1385,3.5625,3.0257
"토고",6.5,5.5448,5.0358,4.3515
"튀니지",4.0019,2.3435,2.0239,2.2
"우간다",7.1,6.946,6.38,5.01
"잠비아",6.6,6.1,5.6,4.6555
"짐바브웨",5.3732,3.885,3.8854,3.6255
"오세아니아",,,,
"오스트레일리아",1.859,1.7866,1.9525,1.8316
"피지",3.47,3.19,2.75,2.7874
"괌",3.139,2.88,2.539,2.3193
"뉴질랜드",2.0311,1.9525,2.1418,1.9
"파푸아뉴기니",4.966,4.637,4.133,3.5883
